reviews,titles,years
" 출처:유튜브 워너뮤직 계정

작품을 보다 보면 작 중 아빠는 두문분출하면서 클래식 음악을 듣고 창밖의 풍경을 바라보는 것이 유일한 취미입니다. 사실은 환자를 돌보는 보호자 입장에선 괜찮은 성격이지만 문제는 성질머리가 있어서 간병인을 둘 수 없게 됩니다.

작품을 보다 보면 작 중 아빠는 두문분출하면서 클래식 음악을 듣고, 창밖의 풍경을 바라보는 것이 유일한 취미입니다.

사실은 환자를 돌보는 보호자 입장에선 좋은 일이지만 문제는 괴팍한 성격 때문에 간병인을 둘 수 없게 됩니다.

작 중 딸은 아픈 아버지를 두고 새로운 사랑과의 삶을 위해 해외를 가야 합니다. 아버지가 평소 즐겨듣던 클래식 감상하는데, 오페라 <Norma>의 <Casta Diva>를 듣습니다. 이 작품의 내용 중 하나인데 드루이드 성지의 여사제가 로마 총독과 사랑에 빠져서 자신의 부족과 사랑 사이에서 갈등하는 내용의 곡입니다. 물론 이렇게만 짧게 정리해버리면 안 되지만 저도 오페라 <노르마>를 실황으로도 본 적이 없을 정도로 조금 보기 드문 공연이고 공연 이야기를 하려는 건 아니니 단순화시켜 썼습니다. 저는 평소 이 곡을 좋아해서 작품에서 흘러나올 때 반가웠다가 이 작품에서 아버지의 간병과 자신의 사랑과 함께 하는 기로에선 딸의 심정을 대변하는 곡이어서 깊은 인상을 받았습니다.

이 작품이 새로운 것은 알츠하이머 환자의 시점으로 작품을 보게 된다는 것이죠. 대화의 기억도 시간도 오락가락합니다. 아마 요양원에 입원하기 며칠 전의 이야기를 그린 듯합니다. 창밖으로 바라본 풍경이 진짜라는 전제 하에서요. 진짜 딸과 대화와 그녀의 전 남편과 현 남친의 대화가 실제로 존재했는지 존재했어도 그 시점이 현재 시점인지 불분명하게 나옵니다. 그런 시간의 인지력이 사라지는 모습이 한 증상으로서 보여 줍니다. 장르적으로 마치 스릴러 작품처럼 편집된 느낌도 있지만 전반적인 내용은 흐려진 기억만큼 잃고 있는 어휘력을 바라봐야 하는 고통입니다. 알츠하이머란 병에 대한 고통을 이렇게 생생하게 전달한 작품도 없었던 거 같아요. 보통 알츠하이머를 다룬 작품이라고 하면 보호자 시점으로 보여서 옆에서 보호자가 겪어야 하는 고통을 보여주는 작품은 많이 있었지만 이런 작품은 처음입니다. 

사실 작품 자체는 잔잔합니다. 관람할 때 당장 딸의 고통이 와닿지 않았는데 딸이 그다지 감정적이지 않아서 생긴 오해 같습니다. 그녀도 어떻게든 요양원에 맡기지 않고 돌보려고 노력하며 고통의 시간 끝에 정한 일인 거죠. 그런 감정은 오히려 이 노래가 표현해주는 것 같습니다.

우연히 그냥 좋아하는 노래가 영화에 흘러서 흘러 흘러 새로운 감상기도 써보았습니다.",더 파더 (The Father),2021
"더 파더
감독
플로리안 젤러
출연
올리비아 콜맨, 안소니 홉킨스
개봉
2021.04.07. 영국, 프랑스
평점
리뷰보기

치매 증세가 점점 심해지는 홀로 된 아버지와 그를 돌보는 딸의 이야기이다. 런던을 배경으로 하고 있지만 거의 모든 이야기가 실내에서 전개되기 때문에 아파트 인테리어를 제외하면 도시의 분위기를 느끼기는 힘들다. 하지만 이런 제약된 공간이 몰입도를 더욱 높이고 있다. 

좋은 영화였다. 

(영화를 봤을 때 제대로 된 몰입감을 느끼고 싶은 분은 여기서 멈추세요) 

스포일러일지 모르겠지만...


























무엇보다 구성이 굉장히 특이하다. 아주 약간씩 다르지만 맥락은 없는 현실 몇 가지가 꼬리에 꼬리를 물고 서로 이어지듯이 돌아가는데, 보는 사람으로 하여금 흡사 치매 환자의 머리속에 들어와 있다는 느낌을 준다. 그리고 그렇게 바뀌어가는 현실이 주는 낯설음은 때때로는 약해지기도 하고, 더욱 강해지기도 하는 등, 긴장과 이완을 오고가면서 사람을 힘들게 한다. 

뭐 그래도 마지막에 가장 큰 반전이 있으니 저 정도만 알아도 영화를 즐기는데는 상관이 없을 듯 하다. 

배우들의 연기가 다 좋지만, 앤서니 홉킨스가 단연 영화 전체를 시종일관 지배하고 있다.  감독이 그에게 맨 처음 시나리오를 보내고, 다른 배역이나 일정 등은 아무것도 정하지 않은 채 그의 대답만 기다렸다는 후문이 있다. ",더 파더 (The Father),2021
"노장 배우 안소니 홉킨스를 오랜만에 만날 수 있었던 영화 <더 파더(The Father, 2020)>는 제93회 아카데미 시상식 6개 부문에 노미네이트되었다는 정보로 인하여 개봉 전부터 관심이 많이 갔다. 영화 <미나리>의 경쟁작품이라서 더 그랬던 것이다. 물론 예술을 경쟁해서는 안 되지만 <미나리>의 영화팬으로서 순수하게 궁금했다. 극찬을 받고 있는 또 다른 영화 <더 파더>는 과연 어떤 느낌의 영화인지, 배우들이 어떤 연기를 펼쳤는지 말이다.




영화는 안소니의 딸로 나오는 올리비아 콜맨이 코트를 입은 채 쌀쌀해 보이는 런던 거리를 잰걸음으로 걷는 장면으로 시작했다. 어느 영화를 보던지 첫 오프닝은 대단히 중요한데, 이렇게 밝은 햇살을 받으며 주인공이 어디론가 바삐 이동하고 있으면 호기심이 들면서 앞으로 전개될 내용에 대해 마음의 준비를 하게 됐다. 런던 포그로 유명한 잿빛하늘 런던에서 따사로운 햇살이라니 뭔가 맞지 않는 듯 보였다. 그래서, 마음의 준비를 더 단단히 했는지도 모르겠다.




그런데, 정말로 영화 <더 파더>는 마음의 준비를 해야 볼 수 있는 영화였다. 영화 내용이 혼란스러웠기 때문이다. 하지만, 그냥 물 흐르듯 끝까지 영화를 따라가다 보면 왜 혼란스러웠는지, 제목은 왜 <더 파더>인지를 이해할 수 있게 된다.


동영상이 첨부되었습니다. 원본보기


예고편을 보고 나서 이 영화가 대략 어떤 내용일지 대략 짐작은 했다. 하지만, 어떻게 전개될런지는 전혀 짐작하지 못했고, 그런 부분은 스포일러이므로 예고편에 넣지도 않는다.




이 영화는 치매 초기증세를 나타내고 있는 아버지, 안소니가 주인공이다. 치매환자의 삶과 그 가족들의 이야기를 다룬 여타 영화들과는 달리 치매의 정도가 점점 심해지는 아버지의 시선에서 만들어진 영화이다. 영화 속에서 안소니는 동명의 안소니 역을 맡았다. 나이도 같았다.




아버지인 안소니의 시선으로 관객들도 상황들을 지켜보는 것이기 때문에 영화 제목은 아버지, <더 파더>가 된 것 같다. 나를 낳아주시고 길러주신 아버지께서 연로해지셔서 결국 치매까지 겪게 된다면 자식은 어떤 마음이 들까? 그런 자식의 관점에서 아버지를 뜻하는 <더 파더>를 생각할 수도 있겠다.




올리비아 콜맨은 딸로서 고뇌한다. 그녀도 그녀의 삶을 챙겨야 하는 중요한 상황들이 있다. 하지만, 아버지도 돌봐야 한다는 무거운 책임감을 느낀다. 치매를 겪고 있는 당사자에게 삶은 공포로 다가오며, 그런 부모를 돌봐야하는 자식에게도 삶은 공포로 다가온다.




<더 파더>는 결코 가볍지 않은 현실적인 내용을 다룬 영화이다. 의학기술이 발달하면서 점점 기대 수명과 실제 수명이 길어져서 인간의 몸은 빨리 죽지는 않더라도 여러 기관에 문제를 겪게 된다. 병이 생기면 병원에서 치료를 받으며 생명을 연장할 순 있지만, 아직 현대 의학으로 해결할 수 없는 알츠하이머 같은 병들이 너무 많다. 숨 쉬고, 음식물을 먹고 사는데는 지장이 없지만, 만약 인간다운 삶을 누릴 수 없다면? 그런 장수는 축복이 아니라 재앙일 것이다.




앞으로 점점 더 사회적으로 큰 문제가 될 일들이다. 오래 사는 게 반드시 축복은 아니라는 말은 이럴 때 쓰는 말일 것이다. 영화를 같이 보신 어머니께서도 같은 말씀을 하셨다. 이 영화는 그냥 나 혼자 보면 좋았을텐데, 괜히 어머니께서 우울해지신 것 같아 마음이 좋지 않았다.




지금까지 <스틸 앨리스>, <아무르>, <어웨이 프롬 허>처럼 알츠하이머 병을 앓고 있는 주인공이 나오는 영화는 주인공의 고뇌와 가족의 사랑이 주제를 이뤘으나 <더 파더>는 달랐다. 내(안소니) 자신은 정상인 것 같은데, 내가 겪는 상황들은 이상하니 남들이 나에게 거짓말을 하는 것 같고, 화가 난다. 그런 관점에서 <더 파더>의 스토리는 전개된다.




배우 안소니 홉킨스는 1937년생으로 올해 85세가 되신 어르신이다. 그런 대배우께서 건강을 잘 관리하시며 영화에서 주연배우를 맡았다는 것 자체가 대단했다. 그리고, 나는 아직 건재하다는 듯 노익장을 과시하며 감정의 굴곡을 악기로 연주하듯 자유자재로 뽑아내며 관객들의 마음을 들었다 놓았다 할 수 있는 능력을 감탄해 마지않았다. 




<더 페이버릿: 여왕의 여자>로 아카데미 여우주연상을 수상했던 올리비아 콜맨의 연기도 인상적이었다. 그녀의 내면이 투영된 표정 연기는 특히 현실 딸의 느낌을 들게 했다. 이번 아카데미 여우조연상 후보로 적절하다는 생각이다. (윤여정 씨의 경쟁자이다.) 아버지에 대한 효심은 가득하지만 현실적으로 그녀는 런던에 아버지를 두고 파리로 떠나야 한다. 그래서, 그녀는 걱정이 이만저만이 아니다. 새로운 간병인을 들이는 것 조차 결코 쉬운 일이 아니었다. 




이 영화를 보고 나서 치매 초기단계의 어르신들이 왜 화를 잘 내는지 조금은 이해할 수 있을 것 같았다. 물론 그게 화를 내는 이유가 아닐 수도 있지만. 나 자신은 정상이라고 생각하는데, 내가 보는 상황들과 사람들이 나에게 거짓말을 하는 것 같이 느껴지는 것이다. 단지 나의 뇌가 거짓말을 하는 것일 뿐인데..




영화가 끝나고 나서 기분은 우울해졌지만, 치매 환자를 조금은 이해할 수 있었고, 아직 알 수 없는 미래에 대해 준비해야 한다는 마음이 들었다. 내 부모님의 미래, 또 나의 노년과 나의 미래가 걱정이 됐기 때문이다.




<더 파더>의 배우들은 연기를 무척 훌륭하게 소화해냈지만, 시상식에서 평가 받을 연기력과는 별개로 <더 파더>는 관객에게 있어서는 너무 심각한 내용의 영화였다. 다만, 클래식 음악을 사랑하는 아버지, 안소니의 품격있는 런던 아파트의 인테리어 꾸밈새는 미술팀의 노고로 인해 볼 게 많았다. 내게 있어서는 사람은 영원히 사는 것이 아니기에 항상 겸손해야 함을 느꼈다고 말하는 것이 이 영화를 본 주요 감상 후기가 될 것 같다. - 영화 더 파더 정보&후기 끝 -  




더 파더
감독
플로리안 젤러
출연
안소니 홉킨스, 올리비아 콜맨
개봉
2021.04.07. 영국, 프랑스
평점
리뷰보기",더 파더 (The Father),2021
"더 파더
감독
플로리안 젤러
출연
올리비아 콜맨, 안소니 홉킨스
개봉
2021.04.07. 영국, 프랑스
평점
리뷰보기

아카데미 시상식에서 각색상을 수상 했으며, 안소니 홉킨스에게 남우주연상을 안겨 준 작품이다. 알츠하이머, 치매를 겪는 환자에 관한 동명의 원작을 바탕으로 한 영화로 당연하게도 안소니 홉킨스의 뛰어난 연기가 가장 인상적이다. 뒤엉킨 기억으로 인한 혼란, 간병인에게 잘 보이려는 과장된 행동, 혼란을 넘어 상실로 인한 슬픔의 흐느낌까지 정말 대단한 연기를 보여줬다. 안소니 홉킨스의 아버지가 심장마비 이후 기억 상실을 겪었는데 그때 본 아버지의 모습을 연기한 것이라 안소니 홉킨스 본인은 연기가 그리 힘들지 않았다고... 개인적으로 아카데미 남우주연상은 채드윅 보스만을 응원하고 있었는데 이 영화를 보고 안소니 홉킨스의 수상을 인정할 수밖에 없었다. 
 보통 알츠하이머, 치매를 겪는 고령 환자를 떠올리면 안타까움과 슬픔이라는 감정이 떠오른다. 이 영화에서는 환자의 병으로 인해 시간, 대상에 대한 기억이 엉켜 생기는 혼란이 섬뜩하게 다가온다. 자신이 가장 편안하고, 안전하게 생각하는 집이라는 공간 안에서 시간이 뒤섞이고, 물건이 사라지고, 사람을 혼동하는 모습에서 흡사 스릴러 영화에서 느끼던 섬뜩함이 느껴지기도 했다. 질병이 유발하는 안타까움과 더불어 어떤 기억이 진실인지 고심하게 되었다. 
 기대 수명이 늘어나면서 알츠하이머, 치매에 대한 걱정도 커져가는 시대다. 특히 우리나라가 노인 치매율이 높다고 하니 나의 노년 생활도 걱정이 되기 마련이다. 무엇보다 환자 혼자만 겪는 고통이 아니라 환자를 보호하는 가족에게도 고통을 안겨다 주는 병이라 두려움이 더 크다. 환자가 느끼는 상실, 공포부터 환자의 가족이 겪는 어려움까지 사실적으로 경험하게 해주면서 영화적인 재미까지 느낄 수 있는 체험 영화였다.",더 파더 (The Father),2021
"더 파더
감독
플로리안 젤러
출연
올리비아 콜맨, 안소니 홉킨스
개봉
영국, 프랑스
평점
리뷰보기
한 편의 스릴러 영화를 보고 난 기분
치매는 본인 스스로도 힘들겠지만
주변 가족들도 엄청난 고통을 주는 거 같다.

치매 환자를 경험하지 못해
앤서니 홉킨스의 연기가 완벽한지는 모르겠지만
순간순간의 디테일을 연기할 땐
왜 그가 올 타임 레전드 인지를 깨닫는다.

치매 국가 책임제
문재인 대통령 공약 중 하나였던 거 같은데
어찌 진행됐나 모르겠네

찾아봐야겠다.

마지막 푸르고 풍성한 나뭇잎이
어쩌면 그가 마지막 꾸는 꿈이 아닐까?

 ",더 파더 (The Father),2021
"더 파더
감독
플로리안 젤러
출연
올리비아 콜맨, 안소니 홉킨스
개봉
2021.04.07. 영국, 프랑스
평점
리뷰보기

고장 난 CD처럼 닦아도 닦아도 고쳐질 수 없는걸..

https://www.youtube.com/watch?v=s-TwMfgaDC8
동영상
Maria Callas sings ""Casta Diva"" (Bellini: Norma, Act 1)
The great Maria Callas performs an aria from her signature role, Bellini's druid priestess Norma, with the Orchestre de l'Opera N...
www.youtube.com
영화에서 나온 음악은 Maria Callas sings ""Casta Diva""
테넷 이후로 머리 쥐어짜며 본 작품이다. 치매환자가 느낄 수 있는 혼동, 혼란 등을 스크린에서 직접적으로 보여준다. 기획의도는 굉장히 창의적이었으나, 정말로 무엇이 현실인지 분간이 안된 탓에, 관객에게 원치 않는 혼동을 준다. 예를 들어, 4dx 관에 가면 물 관련된 장면이 나올 때 관객에게 물이 발사된다. 도입 초기에 이 기능에 대해 사람들은 불만을 쏟아냈다. 원치 않는 물을 맞았다는 이유였는데 지금은 좌석에 물 기능 data-on off 버튼이 있어서 조절할 수 있게 되었다. 그런데 더 파더는 혼란 끄기 기능이라는 게 없다. 굉장히 강제적으로 체험해야 한다. 이런 직접적 체험에 반감을 가지고 있는 사람이 많을 것이라 예상한다.


 그럼에도 이 영화는 끝끝내 내 눈물을 뽑아냈다. 뺨 맞은 것도 마음 아프긴 했지만 무엇보다도 삶을 삶 대로 온전히 못 산다는 게, 고장 난 cd처럼 도돌이표 될 수 없다는 사실과 거기서 오는 혼란스러운 감정, 두려움 등이 전달되었던 거 같다.
.
유럽에 비하면 우리나라 노인 복지시설은 최악이다. 흔히들 말하는 실버타운에 가려면 고액의 보증금과 월 몇백씩 월세를 내야 한다. 노블레스들만 누릴 수 있는 사치이다. 대부분의 노인들은 혼자 지내시거나, 요양 병원에 여생을 보내게 된다. 요양 병원은 치료 목적에서 전문적이긴 하나 별다른 취미 시설이 없고, 누워서 티브이 보는 게 전부이다. 주변에 온통 노인들뿐이고 할 거라곤 티브이 보는 게 다인데 가고 싶겠는가? 또 한국에 장기 요양 보험이라는 게 있다. 만 65세 이상 노인들 중 돌봄이 필요한 상태인 분들에게 지급되는 요양비이다. 아이러니 한건 자신의 몸을 돌볼 수 없는 상황까지 가야 이러한 혜택을 받을 수 있다는 것. 다시 말해 본인이 신청하지 못하는 상태가 되어야  수급 자격을 얻을 수 있는 것이다. 누가 신청하라고..
.
.  안소니 홉킨스의 작품을 많이 보지는 못했지만 영화 <더파더> 만으로 안소니의 연기 스펙트럼이 얼마나 넓었던 것인지 가늠할 수 있었다. 기회가 된다면 안쏘니 홉킨스가 연기한  걸작들만 모아서 유튜브 컨텐츠를 꼭 만들고 싶다.",더 파더 (The Father),2021
"CGV 골든글로브 기획전으로 관람

앤서니 홉킨스 올리비아 콜맨

이 작품을 사전 정보 없이 보게 되면 주인공 아버지가 알츠하이머라는 걸 눈치채는 게 얼마나 빠르고 늦느냐에 따라서 보는 시각이 다를 수 있습니다. 왜냐면 등장인물들 중 누구도 그가 알츠하이머라는 걸 알리지 않습니다. 그래서 언뜻 보면 아버지와 딸 간의 기싸움하는 스릴러 영화이자 사이코드라마처럼 보이기도 합니다.

딸과 딸의 남자친구가 다른 배우로 바뀌어 나오고 시간과 장소가 조금씩 바뀝니다. 우리는 온전히 주인공의 시점으로 이야기의 흐름과 시간을 체감하고 있기 때문에 널뛰기하는 시간대와 사람에 대한 기억력 때문에 어렴풋이 알츠하이머인가 보다 할 수 있습니다. 하지만 여전히 연출은 작품의 스릴러적 전개를 놓지 않습니다.

아마 이 작품은 아빠가 알츠하이머라는 걸 언제 알아차리느냐에 따라서 영화를 보는 감상이 많이 달라질 작품입니다. 우리는 알츠하이머를 다룬 많은 작품에서 보호자 입장에서 겪는 알츠하이머 환자를 바라보는 답답함과 안타까움은 많이 체험하지만 알츠하이머 환자의 시점으로 보는 경우는 극히 드뭅니다. 왜 자기 가족을 다른 사람으로 착각을 하고 다른 사람을 자기 가족으로 착각하고 자신이 있는 공간이 어디인지 그리고 갑자기 기억이 돌아왔을 때 왜 그렇게 혼란스러워하거나 돌발행동을 하는지에 대해 알지 못합니다. 그러나 이 작품은 알츠하이머 환자의 시점으로 전개되기 때문에 그가 겪는 고통 혼란스러움 등이 고스란히 관객의 감정으로 다가오면서 스릴러 형식 같던 작품은 안타까운 일상의 공포를 다룬 드라마가 되어 버립니다.

결국 아버지는 알츠하이머 환자였다는 걸 관객에게도 알려주고, 딸이 했어야 했던 선택을 지극히 서양인적인 느낌으로 보여줍니다. 가끔 그런 게 동양 사람으로서의 불편함까지 가져다줍니다. 상당히 정정해 보였던 아버지는 연약한 노인의 모습으로 보이게 됩니다. 이 작품은 이렇듯 시점으로 보게 되는 관점의 문제를 상당히 디테일하게 잘 그려냅니다. 알츠하이머 환자를 연기해낸 앤서니 홉킨스의 연기도 탁월하고요. 상당히 연극적으로 연출된 작품이지만 미장센이라던지 편집과 카메라 워킹을 통한 시점을 보여주는 디테일이 훌륭하니 자세히 보시는 걸 추천드립니다. 배경도 조금씩 바뀌어가는 디테일이 상당히 공들여서 신을 구성했음을 알 수 있습니다.

알츠하이머는 본인보다 가족들의 고통에 보통 포커스가 되는데 본인도 얼마나 힘들지 다시 생각해보게 되는 영화였습니다. 상당히 무서운 병임에도 아직도 극복이 되고 있지 못한 난치병이기도 하고 투병자 본인의 의지로 극복할 수 있는 병이 아니다 보니 더더욱 치료방법이 늦어지고 있는 거 같습니다. 언젠가는 이런 무서운 병도 있었다고 기억되는 세상이 오면 좋겠습니다.",더 파더 (The Father),2021
"영화 [더 파더] 메인 예고편 : 안소니 홉킨스, 올리비아 콜맨 : 2021.04.07 : 대체 나는 누구인가..




나는 런던에서 평화롭게 삶을 보내고 있었다.
무료한 일상 속 나를 찾아오는 건 딸 ‘앤’ 뿐이다.
 그런데 앤이 갑작스럽게 런던을 떠난다고 말한다.
그 순간부터 앤이 내 딸이 아닌 것처럼 느껴졌다.
잠깐, 앤이 내 딸이 맞기는 한 걸까?
 기억이 뒤섞여 갈수록 지금 이 현실과 사랑하는 딸,
그리고 나 자신까지 모든 것이 점점 더 의심스러워진다.
2021.04.07 / The Father, 2020

감독: 플로리안 젤러
출연: 안소니 홉킨스, 올리비아 콜맨, 마크 게티스, 올리비아 윌리암스, 이모겐 푸츠





영화 [더 파더] 마스터피스 무삭제 영상 : 안소니 홉킨스, 올리비아 콜맨 : 2021.04 .07: 예고편





  

   ",더 파더 (The Father),2021
"각본가로 활동하던 플로리안 젤러의 감독 데뷔작이다. 자신이 직접 쓴 동명의 연극을 영화화 했다. '양들의 침묵'으로 기억되는 연기의 베테랑이자 거장 안소니 홉킨스와 역시 탄탄한 연기력을 선 보이는 아카데미 수상자 출신 올리비아 콜맨등 베테랑 연기자들이 대거 출연한 영화이기도 하다. 그만큼 각본이 탄탄하고 감독에 대한 믿음도 있다는 뜻이기도 하다. 또한 코로나 자가격리 시대에 좀 더 와닿는 이야기이기도 하다. 영화 속의 특징 하나만 더한다면 말이다.

영화는 사실 특별한 이야기는 아닌 편이다. 스릴러 방식을 활용함에도 빠르게 파악되는 상황과 내용이지만 그럼에도 관객들을 붙잡게 되는 것은 어떻게 얼마나 진행되느냐의 과정이다. 즉, 체험하게 만들면서 동시에 그 끝을 궁금하게 만들게 된다. 다 알지만 진짜 아는 것은 아니기 때문이다. 다만 연극이 원작인만큼 연극적인 동선과 구성이 돋보이는 편이다. 특히 방에서 방으로 이사람에서 저사람으로 넘어가는 것은 딱 연극에서 쓰는 정밀한 동선으로 짜여져 있다.

하지만 연극처럼 강렬한 대사보다는 일상적이면서도 신중한 대사를 쓰는 편이다. 또한 어느 순간부터는 단순하게 그 상황의 나열과 지속 같으면서도 그 너머를 말하고 있음을 느끼게 한다. 결국은 삶과 죽음의 과정을 다루고 있기 때문이다. 점점 소중해지는 것은 무엇이고 남겨지는 것은 무엇인지, 잃어버리는 것은 무엇이고 그것을 어떻게 받아들여야 할 지 등의 심리적 상황들이 디테일하게 그려져 있다.

여기에 효과적으로 배치한 클래식 음악의 분위기와 창문, 빛과 그림자의 배치, 어둠의 활용, 시간이라는 지점과 오 헨리 단편의 인용부터 음식의 활용까지 인상적이다. 가볍게 보면 망상 같은 현상을 말하고 있지만 무겁게 본다면 삶에 있어서 중요한 부분과 맞닿아 있기 때문이다. 창 밖의 아이처럼 말이다. 그래서 진실을 알려줄 것 같으면서도 알려주지 않는다. 꼭 그 상황에 처해 있지 않더라도 누구나가 시간을 지나면서 겪게 되는 부분과도 겹치기 때문이다. 타인의 이야기가 아니었다.

고로 '더 파더'는 동명의 연극을 영화로 확장하면서 공간감과 입체감을 잘 활용하고, 더 디테일하게 인생과 삶에 대해서 은유하는 영화라고 여겨진다. 지금 어떤 방에서 어떤 인생을 살고 있을지라도 삶이라는 집을 벗어날 수 없는 것처럼 때론 다소 당황스럽고 황당하거나 불후의 습격을 받을지라도 부여잡고 버텨야 된다. 그렇게라도 방 안의 주인으로서 살아가야 하는 것이다. 가장 가까운 가족조차도 친근하다가도 의심스럽고 믿을 수 없다가도 믿어야만 하고, 잃어버렸다가도 되찾고 그럼에도 포기해야 하는 것처럼. 결국 몇 평의 공간만을 유지하면서 누군가에 기대여야 하는 현실이 다가올지라도. 파더도 인간이었다. 


**한니발 렉터는 여전히 갇혀 있는 셈이다.
***거짓말도 필요하다. 불쾌할 수도 있지만 그것이 힘이 될수도 있다.
****자가 격리의 느낌과도 비슷한 측면이 있다.
*****시간이 많이 지나면 선명한 기억만 남는다. 또는 선명한 왜곡만 남는다.
******정말 정확히 다 기억한다고 할 수 있을까.
*******안소니 홉킨스는 자신을 그대로 영화에 투영한 듯 하다. 이름부터 여러 설정까지.
********프랑스를 열심히 언급하더니만 프랑스 연극이었다.
*********음악이 편안하거나 아이러니한 감정을 만들어 낸다.
**********갑자기 튀는 CD.
***********오래 살수록 더 안정화 될 것 같지만 삶은 더 불안해진다.
************하지만 아닌척 하며 살 수 밖에 없다. 하소연 할 수 있는 어린아이가 아니니까.
*************확고해 진 부분도 순식간에 무너진다.
**************영화이지만 빛의 세팅이 연극 세트 조명스러운 느낌이 난다.
***************밖으로 나갈 듯 하지만 나가지 않았다.
****************비슷한 공간으로 느껴지게 하기 위해 비슷하게 복도와 방문을 설정한 것 같다.
*****************하지만 뭔가 조금씩 바뀌고 달라진다.
******************그걸 가장 느끼고 있는 사람이 집의 주인이다.
*******************깨어진 컵은 다시 담고 모아 봤자 이미 깨진 컵이다. 오래된 속담을 인용한 듯 하다.
********************하지만 자연은 아주 푸르르다. 멀리 보면 반복되는 찰나의 시간일 뿐이니. 겨울이 가면 봄이 온다.
*********************조금씩 캐릭터 설정이 더해지거나 바뀌거나 사라진다.
**********************'아무르'를 연상케 하는 구조나 상황도 있었다. 참고했을까.
***********************올리비아 콜맨은 그 자체로 뭔가 불안해 보였다. 기존의 연기 이미지까지 있어서 확 달라질 것만 같은 기시감이 된다.
************************시간에 집착하지만 시간은 속절없이 흘러간다.
*************************먹고 자는 것만 계속해도 확 가버리는 시간.
**************************뺏길 것 같고, 잃어버릴 것 같고, 없어질 것 같으면 공격성이 발생한다.
***************************젊음과의 대비도 작동하고 있으며, 자신일지도 모르는 상황도 끼어 넣는다.
****************************쉬운 삶은 없다. 쉬울 것 같은 삶은 있다.
*****************************알고보면 혼자서 온전히 즐길 수 있는 것들조차도 많이 없다. 그만큼 빠르게 지나간다.
******************************나중에는 로봇으로 대체될 것인가. 
*******************************그래서 자꾸만 나가야 한다. 하지만 나가는 것은 큰 도전일수도 있다.
********************************밤이 있으면 아침은 기어코 온다. 사실 밤과 아침이 중요한 것이 아니다.



 ",더 파더 (The Father),2021
"몸이 말을 듣지 않으면
단순히 화만 날 건데
정신이 말을 듣지 않으면
시간도 감당할 수 없는 걸까

자기 자신도 모르게
떨어져 나가는 기억
어떻게든 찾고 싶은데
자꾸만 다른 데 가 있다

내가 둔 내가 아닌 나를
그 누가 감당할 수 있나
계속해서 살피겠지만
엉망의 연속일 뿐이다

상상할 수 없던 박자
따로 노는 머릿속의 발
포기할 수 없는 flat
혼자만의 탭댄스


#더파더 #후기 #TheFather #uneven #flat #watch #self 
#Alone #tapdance #mess #spirit #tempo
#AnthonyHopkins #OliviaColman 
#혼자만의 #탭댄스 #관계 #상실 #엇박
#찾기 #힘든 #시간 #포기 #불가 #한때",더 파더 (The Father),2021
